  THREADS     L     V     W+1   TIME(us)   MEMORY(GB)  STORAGE(MB) CORRECT
        4    37    10    27        571        1.000      787.286     yes
        2    37    10    27        473        1.000      787.286     yes
        1    37    10    27        699        1.000      787.286     yes
        4    37     9    28        822        2.000     1574.443     yes
        2    37     9    28        452        2.000     1574.443     yes
        1    37     9    28        421        2.000     1574.443     yes
        4    37     8    29       1189        3.900     3148.822     yes
        2    37     8    29        323        3.900     3148.822     yes
        1    37     8    29       1372        3.900     3148.822     yes
        4    37     7    30       4796        7.400     6297.611     yes
        2    37     7    30       3866        7.400     6297.611     yes
        1    37     7    30       5393        7.400     6297.611     yes
        4    38    11    27       1021        1.000      787.372     yes
        2    38    11    27        887        1.000      787.372     yes
        1    38    11    27       1274        1.000      787.372     yes
        4    38    10    28        611        2.000     1574.486     yes
        2    38    10    28        761        2.000     1574.486     yes
        1    38    10    28        911        2.000     1574.486     yes
        4    38     9    29        466        3.900     3148.843     yes
        2    38     9    29        504        3.900     3148.843     yes
        1    38     9    29        811        3.900     3148.843     yes
        4    38     8    30       5459        7.400     6297.622     yes
        2    38     8    30       6184        7.400     6297.622     yes
        1    38     8    30      10055        7.400     6297.622     yes
        4    39    12    27       1629        1.000      787.544     yes
        2    39    12    27       1703        1.000      787.544     yes
        1    39    12    27       2484        1.000      787.544     yes
        4    39    11    28       1067        2.000     1574.572     yes
        2    39    11    28       1030        2.000     1574.572     yes
        1    39    11    28       1660        2.000     1574.572     yes
        4    39    10    29        699        3.900     3148.886     yes
        2    39    10    29        754        3.900     3148.886     yes
        1    39    10    29       1448        3.900     3148.886     yes
        4    39     9    30      10190        7.400     6297.643     yes
        2    39     9    30      11149        7.500     6297.643     yes
        1    39     9    30      20950        7.400     6297.643     yes
        4    40    13    27       3161        1.000      787.888     yes
        2    40    13    27       3307        1.000      787.888     yes
        1    40    13    27       5170        1.000      787.888     yes
        4    40    12    28       1804        2.000     1574.744     yes
        2    40    12    28       1647        2.000     1574.744     yes
        1    40    12    28       2722        2.000     1574.744     yes
        4    40    11    29       1147        3.900     3148.972     yes
        2    40    11    29       1493        3.900     3148.972     yes
        1    40    11    29       1961        3.900     3148.972     yes
        4    40    10    30      18253        7.400     6297.686     yes
        2    40    10    30      23486        7.400     6297.686     yes
        1    40    10    30      40190        7.400     6297.686     yes
        4    41    14    27       6130        1.000      788.575     yes
        2    41    14    27       5978        1.000      788.575     yes
        1    41    14    27       9731        1.000      788.575     yes
        4    41    13    28       3290        2.000     1575.088     yes
        2    41    13    28       3514        2.000     1575.088     yes
        1    41    13    28       5451        2.000     1575.088     yes
        4    41    12    29       2070        3.900     3149.144     yes
        2    41    12    29       2108        3.900     3149.144     yes
        1    41    12    29       3662        3.900     3149.144     yes
        4    41    11    30      35488        7.400     6297.772     yes
        2    41    11    30      43666        7.400     6297.772     yes
        1    41    11    30      91631        7.400     6297.772     yes
        4    42    15    27      12776        1.000      789.950     yes
        2    42    15    27      13840        1.000      789.950     yes
        1    42    15    27      21524        1.000      789.950     yes
        4    42    14    28       6530        2.000     1575.775     yes
        2    42    14    28       7703        2.000     1575.775     yes
        1    42    14    28      11750        2.000     1575.775     yes
        4    42    13    29       4071        3.900     3149.488     yes
        2    42    13    29       4578        3.900     3149.488     yes
        1    42    13    29       7786        3.900     3149.488     yes
        4    42    12    30      57207        7.400     6297.944     yes
        2    42    12    30      79376        7.400     6297.944     yes
        1    42    12    30     147913        7.400     6297.944     yes
        4    43    16    27      22595        1.000      792.700     yes
        2    43    16    27      26626        1.000      792.700     yes
        1    43    16    27      41472        1.000      792.700     yes
        4    43    15    28      13975        2.000     1577.150     yes
        2    43    15    28      15473        2.000     1577.150     yes
        1    43    15    28      26917        2.000     1577.150     yes
        4    43    14    29       7853        3.900     3150.175     yes
        2    43    14    29       8790        3.900     3150.175     yes
        1    43    14    29      14002        3.900     3150.175     yes
        4    43    13    30     110361        7.400     6298.288     yes
        2    43    13    30     165144        7.400     6298.288     yes
        1    43    13    30     301816        7.400     6298.288     yes
        4    44    17    27      41737        1.000      798.200     yes
        2    44    17    27      50946        1.000      798.200     yes
        1    44    17    27      79299        1.000      798.200     yes
        4    44    16    28      25641        2.000     1579.900     yes
        2    44    16    28      29087        2.000     1579.900     yes
        1    44    16    28      49733        2.000     1579.900     yes
        4    44    15    29      14194        3.900     3151.550     yes
        2    44    15    29      18132        3.900     3151.550     yes
        1    44    15    29      33042        3.900     3151.550     yes
        4    44    14    30     224925        7.400     6298.975     yes
        2    44    14    30     321374        7.400     6298.975     yes
